"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-05-17,"-1 wk ahead inc case",2021-05-08,"PL72","observed",NA,3254,"Dolnoslaskie"
2021-05-17,"0 wk ahead inc case",2021-05-15,"PL72","observed",NA,2344,"Dolnoslaskie"
2021-05-17,"1 wk ahead inc case",2021-05-22,"PL72","point",NA,1671,"Dolnoslaskie"
2021-05-17,"2 wk ahead inc case",2021-05-29,"PL72","point",NA,1183,"Dolnoslaskie"
2021-05-17,"3 wk ahead inc case",2021-06-05,"PL72","point",NA,840,"Dolnoslaskie"
2021-05-17,"4 wk ahead inc case",2021-06-12,"PL72","point",NA,596,"Dolnoslaskie"
2021-05-17,"1 wk ahead inc case",2021-05-22,"PL72","quantile",0.01,1072,"Dolnoslaskie"
2021-05-17,"1 wk ahead inc case",2021-05-22,"PL72","quantile",0.025,1152,"Dolnoslaskie"
2021-05-17,"1 wk ahead inc case",2021-05-22,"PL72","quantile",0.05,1227,"Dolnoslaskie"
2021-05-17,"1 wk ahead inc case",2021-05-22,"PL72","quantile",0.1,1317,"Dolnoslaskie"
2021-05-17,"1 wk ahead inc case",2021-05-22,"PL72","quantile",0.15,1381,"Dolnoslaskie"
2021-05-17,"1 wk ahead inc case",2021-05-22,"PL72","quantile",0.2,1432,"Dolnoslaskie"
2021-05-17,"1 wk ahead inc case",2021-05-22,"PL72","quantile",0.25,1478,"Dolnoslaskie"
2021-05-17,"1 wk ahead inc case",2021-05-22,"PL72","quantile",0.3,1520,"Dolnoslaskie"
2021-05-17,"1 wk ahead inc case",2021-05-22,"PL72","quantile",0.35,1559,"Dolnoslaskie"
2021-05-17,"1 wk ahead inc case",2021-05-22,"PL72","quantile",0.4,1597,"Dolnoslaskie"
2021-05-17,"1 wk ahead inc case",2021-05-22,"PL72","quantile",0.45,1634,"Dolnoslaskie"
2021-05-17,"1 wk ahead inc case",2021-05-22,"PL72","quantile",0.5,1671,"Dolnoslaskie"
2021-05-17,"1 wk ahead inc case",2021-05-22,"PL72","quantile",0.55,1708,"Dolnoslaskie"
2021-05-17,"1 wk ahead inc case",2021-05-22,"PL72","quantile",0.6,1747,"Dolnoslaskie"
2021-05-17,"1 wk ahead inc case",2021-05-22,"PL72","quantile",0.65,1787,"Dolnoslaskie"
2021-05-17,"1 wk ahead inc case",2021-05-22,"PL72","quantile",0.7,1832,"Dolnoslaskie"
2021-05-17,"1 wk ahead inc case",2021-05-22,"PL72","quantile",0.75,1880,"Dolnoslaskie"
2021-05-17,"1 wk ahead inc case",2021-05-22,"PL72","quantile",0.8,1935,"Dolnoslaskie"
2021-05-17,"1 wk ahead inc case",2021-05-22,"PL72","quantile",0.85,2001,"Dolnoslaskie"
2021-05-17,"1 wk ahead inc case",2021-05-22,"PL72","quantile",0.9,2084,"Dolnoslaskie"
2021-05-17,"1 wk ahead inc case",2021-05-22,"PL72","quantile",0.95,2212,"Dolnoslaskie"
2021-05-17,"1 wk ahead inc case",2021-05-22,"PL72","quantile",0.975,2329,"Dolnoslaskie"
2021-05-17,"1 wk ahead inc case",2021-05-22,"PL72","quantile",0.99,2468,"Dolnoslaskie"
2021-05-17,"2 wk ahead inc case",2021-05-29,"PL72","quantile",0.01,634,"Dolnoslaskie"
2021-05-17,"2 wk ahead inc case",2021-05-29,"PL72","quantile",0.025,705,"Dolnoslaskie"
2021-05-17,"2 wk ahead inc case",2021-05-29,"PL72","quantile",0.05,770,"Dolnoslaskie"
2021-05-17,"2 wk ahead inc case",2021-05-29,"PL72","quantile",0.1,850,"Dolnoslaskie"
2021-05-17,"2 wk ahead inc case",2021-05-29,"PL72","quantile",0.15,906,"Dolnoslaskie"
2021-05-17,"2 wk ahead inc case",2021-05-29,"PL72","quantile",0.2,953,"Dolnoslaskie"
2021-05-17,"2 wk ahead inc case",2021-05-29,"PL72","quantile",0.25,996,"Dolnoslaskie"
2021-05-17,"2 wk ahead inc case",2021-05-29,"PL72","quantile",0.3,1035,"Dolnoslaskie"
2021-05-17,"2 wk ahead inc case",2021-05-29,"PL72","quantile",0.35,1073,"Dolnoslaskie"
2021-05-17,"2 wk ahead inc case",2021-05-29,"PL72","quantile",0.4,1111,"Dolnoslaskie"
2021-05-17,"2 wk ahead inc case",2021-05-29,"PL72","quantile",0.45,1147,"Dolnoslaskie"
2021-05-17,"2 wk ahead inc case",2021-05-29,"PL72","quantile",0.5,1183,"Dolnoslaskie"
2021-05-17,"2 wk ahead inc case",2021-05-29,"PL72","quantile",0.55,1221,"Dolnoslaskie"
2021-05-17,"2 wk ahead inc case",2021-05-29,"PL72","quantile",0.6,1263,"Dolnoslaskie"
2021-05-17,"2 wk ahead inc case",2021-05-29,"PL72","quantile",0.65,1305,"Dolnoslaskie"
2021-05-17,"2 wk ahead inc case",2021-05-29,"PL72","quantile",0.7,1349,"Dolnoslaskie"
2021-05-17,"2 wk ahead inc case",2021-05-29,"PL72","quantile",0.75,1400,"Dolnoslaskie"
2021-05-17,"2 wk ahead inc case",2021-05-29,"PL72","quantile",0.8,1460,"Dolnoslaskie"
2021-05-17,"2 wk ahead inc case",2021-05-29,"PL72","quantile",0.85,1529,"Dolnoslaskie"
2021-05-17,"2 wk ahead inc case",2021-05-29,"PL72","quantile",0.9,1623,"Dolnoslaskie"
2021-05-17,"2 wk ahead inc case",2021-05-29,"PL72","quantile",0.95,1768,"Dolnoslaskie"
2021-05-17,"2 wk ahead inc case",2021-05-29,"PL72","quantile",0.975,1903,"Dolnoslaskie"
2021-05-17,"2 wk ahead inc case",2021-05-29,"PL72","quantile",0.99,2076,"Dolnoslaskie"
2021-05-17,"3 wk ahead inc case",2021-06-05,"PL72","quantile",0.01,393,"Dolnoslaskie"
2021-05-17,"3 wk ahead inc case",2021-06-05,"PL72","quantile",0.025,447,"Dolnoslaskie"
2021-05-17,"3 wk ahead inc case",2021-06-05,"PL72","quantile",0.05,496,"Dolnoslaskie"
2021-05-17,"3 wk ahead inc case",2021-06-05,"PL72","quantile",0.1,558,"Dolnoslaskie"
2021-05-17,"3 wk ahead inc case",2021-06-05,"PL72","quantile",0.15,604,"Dolnoslaskie"
2021-05-17,"3 wk ahead inc case",2021-06-05,"PL72","quantile",0.2,643,"Dolnoslaskie"
2021-05-17,"3 wk ahead inc case",2021-06-05,"PL72","quantile",0.25,679,"Dolnoslaskie"
2021-05-17,"3 wk ahead inc case",2021-06-05,"PL72","quantile",0.3,713,"Dolnoslaskie"
2021-05-17,"3 wk ahead inc case",2021-06-05,"PL72","quantile",0.35,744,"Dolnoslaskie"
2021-05-17,"3 wk ahead inc case",2021-06-05,"PL72","quantile",0.4,775,"Dolnoslaskie"
2021-05-17,"3 wk ahead inc case",2021-06-05,"PL72","quantile",0.45,807,"Dolnoslaskie"
2021-05-17,"3 wk ahead inc case",2021-06-05,"PL72","quantile",0.5,840,"Dolnoslaskie"
2021-05-17,"3 wk ahead inc case",2021-06-05,"PL72","quantile",0.55,874,"Dolnoslaskie"
2021-05-17,"3 wk ahead inc case",2021-06-05,"PL72","quantile",0.6,909,"Dolnoslaskie"
2021-05-17,"3 wk ahead inc case",2021-06-05,"PL72","quantile",0.65,947,"Dolnoslaskie"
2021-05-17,"3 wk ahead inc case",2021-06-05,"PL72","quantile",0.7,988,"Dolnoslaskie"
2021-05-17,"3 wk ahead inc case",2021-06-05,"PL72","quantile",0.75,1034,"Dolnoslaskie"
2021-05-17,"3 wk ahead inc case",2021-06-05,"PL72","quantile",0.8,1086,"Dolnoslaskie"
2021-05-17,"3 wk ahead inc case",2021-06-05,"PL72","quantile",0.85,1152,"Dolnoslaskie"
2021-05-17,"3 wk ahead inc case",2021-06-05,"PL72","quantile",0.9,1239,"Dolnoslaskie"
2021-05-17,"3 wk ahead inc case",2021-06-05,"PL72","quantile",0.95,1380,"Dolnoslaskie"
2021-05-17,"3 wk ahead inc case",2021-06-05,"PL72","quantile",0.975,1512,"Dolnoslaskie"
2021-05-17,"3 wk ahead inc case",2021-06-05,"PL72","quantile",0.99,1681.00999999999,"Dolnoslaskie"
2021-05-17,"4 wk ahead inc case",2021-06-12,"PL72","quantile",0.01,246,"Dolnoslaskie"
