"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-05-10,"-1 wk ahead inc case",2021-05-01,"GM01","observed",NA,21431,"Baden-Württemberg State"
2021-05-10,"0 wk ahead inc case",2021-05-08,"GM01","observed",NA,17471,"Baden-Württemberg State"
2021-05-10,"1 wk ahead inc case",2021-05-15,"GM01","point",NA,17242.5,"Baden-Württemberg State"
2021-05-10,"2 wk ahead inc case",2021-05-22,"GM01","point",NA,16928.5,"Baden-Württemberg State"
2021-05-10,"3 wk ahead inc case",2021-05-29,"GM01","point",NA,16570,"Baden-Württemberg State"
2021-05-10,"4 wk ahead inc case",2021-06-05,"GM01","point",NA,16292,"Baden-Württemberg State"
2021-05-10,"1 wk ahead inc case",2021-05-15,"GM01","quantile",0.01,10474,"Baden-Württemberg State"
2021-05-10,"1 wk ahead inc case",2021-05-15,"GM01","quantile",0.025,11390,"Baden-Württemberg State"
2021-05-10,"1 wk ahead inc case",2021-05-15,"GM01","quantile",0.05,12216,"Baden-Württemberg State"
2021-05-10,"1 wk ahead inc case",2021-05-15,"GM01","quantile",0.1,13259,"Baden-Württemberg State"
2021-05-10,"1 wk ahead inc case",2021-05-15,"GM01","quantile",0.15,13969,"Baden-Württemberg State"
2021-05-10,"1 wk ahead inc case",2021-05-15,"GM01","quantile",0.2,14551,"Baden-Württemberg State"
2021-05-10,"1 wk ahead inc case",2021-05-15,"GM01","quantile",0.25,15062,"Baden-Württemberg State"
2021-05-10,"1 wk ahead inc case",2021-05-15,"GM01","quantile",0.3,15527,"Baden-Württemberg State"
2021-05-10,"1 wk ahead inc case",2021-05-15,"GM01","quantile",0.35,15968,"Baden-Württemberg State"
2021-05-10,"1 wk ahead inc case",2021-05-15,"GM01","quantile",0.4,16399,"Baden-Württemberg State"
2021-05-10,"1 wk ahead inc case",2021-05-15,"GM01","quantile",0.45,16825,"Baden-Württemberg State"
2021-05-10,"1 wk ahead inc case",2021-05-15,"GM01","quantile",0.5,17242.5,"Baden-Württemberg State"
2021-05-10,"1 wk ahead inc case",2021-05-15,"GM01","quantile",0.55,17670,"Baden-Württemberg State"
2021-05-10,"1 wk ahead inc case",2021-05-15,"GM01","quantile",0.6,18112,"Baden-Württemberg State"
2021-05-10,"1 wk ahead inc case",2021-05-15,"GM01","quantile",0.65,18573,"Baden-Württemberg State"
2021-05-10,"1 wk ahead inc case",2021-05-15,"GM01","quantile",0.7,19095,"Baden-Württemberg State"
2021-05-10,"1 wk ahead inc case",2021-05-15,"GM01","quantile",0.75,19659,"Baden-Württemberg State"
2021-05-10,"1 wk ahead inc case",2021-05-15,"GM01","quantile",0.8,20293,"Baden-Württemberg State"
2021-05-10,"1 wk ahead inc case",2021-05-15,"GM01","quantile",0.85,21027,"Baden-Württemberg State"
2021-05-10,"1 wk ahead inc case",2021-05-15,"GM01","quantile",0.9,21995,"Baden-Württemberg State"
2021-05-10,"1 wk ahead inc case",2021-05-15,"GM01","quantile",0.95,23461.05,"Baden-Württemberg State"
2021-05-10,"1 wk ahead inc case",2021-05-15,"GM01","quantile",0.975,24800,"Baden-Württemberg State"
