"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-05-03,"-1 wk ahead inc case",2021-04-24,"PL72","observed",NA,7922,"Dolnoslaskie"
2021-05-03,"0 wk ahead inc case",2021-05-01,"PL72","observed",NA,4986,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","point",NA,2928,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","point",NA,1657,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","point",NA,938,"Dolnoslaskie"
2021-05-03,"4 wk ahead inc case",2021-05-29,"PL72","point",NA,533,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","quantile",0.01,787,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","quantile",0.025,997,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","quantile",0.05,1219,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","quantile",0.1,1509,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","quantile",0.15,1734,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","quantile",0.2,1928,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","quantile",0.25,2102,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","quantile",0.3,2270,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","quantile",0.35,2434,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","quantile",0.4,2597,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","quantile",0.45,2763,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","quantile",0.5,2928,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","quantile",0.55,3102,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","quantile",0.6,3284,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","quantile",0.65,3483,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","quantile",0.7,3697.29999999999,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","quantile",0.75,3935,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","quantile",0.8,4222.20000000001,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","quantile",0.85,4578,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","quantile",0.9,5041,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","quantile",0.95,5793,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","quantile",0.975,6474,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","quantile",0.99,7341.00999999999,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","quantile",0.01,278,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","quantile",0.025,384,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","quantile",0.05,498,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","quantile",0.1,660,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","quantile",0.15,795,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","quantile",0.2,920,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","quantile",0.25,1042,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","quantile",0.3,1160,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","quantile",0.35,1277,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","quantile",0.4,1398,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","quantile",0.45,1525,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","quantile",0.5,1657,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","quantile",0.55,1802,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","quantile",0.6,1956,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","quantile",0.65,2129,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","quantile",0.7,2322,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","quantile",0.75,2550,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","quantile",0.8,2830,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","quantile",0.85,3183,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","quantile",0.9,3680,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","quantile",0.95,4513,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","quantile",0.975,5375.02499999999,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","quantile",0.99,6559.02999999998,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","quantile",0.01,109,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","quantile",0.025,160,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","quantile",0.05,218,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","quantile",0.1,307,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","quantile",0.15,386,"Dolnoslaskie"
