"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-05-03,"-1 wk ahead inc death",2021-04-24,"PL72","observed",NA,228,"Dolnoslaskie"
2021-05-03,"0 wk ahead inc death",2021-05-01,"PL72","observed",NA,221,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","point",NA,213,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","point",NA,205,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc death",2021-05-22,"PL72","point",NA,197,"Dolnoslaskie"
2021-05-03,"4 wk ahead inc death",2021-05-29,"PL72","point",NA,189,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","quantile",0.01,149,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","quantile",0.025,158,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","quantile",0.05,167,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","quantile",0.1,176,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","quantile",0.15,183,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","quantile",0.2,188,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","quantile",0.25,193,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","quantile",0.3,197,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","quantile",0.35,202,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","quantile",0.4,205,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","quantile",0.45,209,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","quantile",0.5,213,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","quantile",0.55,217,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","quantile",0.6,221,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","quantile",0.65,225,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","quantile",0.7,229,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","quantile",0.75,234,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","quantile",0.8,239,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","quantile",0.85,246,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","quantile",0.9,254,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","quantile",0.95,266,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","quantile",0.975,277,"Dolnoslaskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","quantile",0.99,291,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","quantile",0.01,124,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","quantile",0.025,135,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","quantile",0.05,145,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","quantile",0.1,157,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","quantile",0.15,165,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","quantile",0.2,172,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","quantile",0.25,178,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","quantile",0.3,184,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","quantile",0.35,189,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","quantile",0.4,194,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","quantile",0.45,199,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","quantile",0.5,205,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","quantile",0.55,210,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","quantile",0.6,215,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","quantile",0.65,221,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","quantile",0.7,227,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","quantile",0.75,234,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","quantile",0.8,242,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","quantile",0.85,251,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","quantile",0.9,263,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","quantile",0.95,281,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","quantile",0.975,298,"Dolnoslaskie"
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","quantile",0.99,318,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc death",2021-05-22,"PL72","quantile",0.01,107,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc death",2021-05-22,"PL72","quantile",0.025,118,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc death",2021-05-22,"PL72","quantile",0.05,128.950000000001,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc death",2021-05-22,"PL72","quantile",0.1,142,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc death",2021-05-22,"PL72","quantile",0.15,151,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc death",2021-05-22,"PL72","quantile",0.2,159,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc death",2021-05-22,"PL72","quantile",0.25,166,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc death",2021-05-22,"PL72","quantile",0.3,172,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc death",2021-05-22,"PL72","quantile",0.35,179,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc death",2021-05-22,"PL72","quantile",0.4,185,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc death",2021-05-22,"PL72","quantile",0.45,191,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc death",2021-05-22,"PL72","quantile",0.5,197,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc death",2021-05-22,"PL72","quantile",0.55,203,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc death",2021-05-22,"PL72","quantile",0.6,209,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc death",2021-05-22,"PL72","quantile",0.65,216,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc death",2021-05-22,"PL72","quantile",0.7,224,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc death",2021-05-22,"PL72","quantile",0.75,232,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc death",2021-05-22,"PL72","quantile",0.8,241,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc death",2021-05-22,"PL72","quantile",0.85,252,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc death",2021-05-22,"PL72","quantile",0.9,267,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc death",2021-05-22,"PL72","quantile",0.95,291,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc death",2021-05-22,"PL72","quantile",0.975,312,"Dolnoslaskie"
2021-05-03,"3 wk ahead inc death",2021-05-22,"PL72","quantile",0.99,339,"Dolnoslaskie"
2021-05-03,"4 wk ahead inc death",2021-05-29,"PL72","quantile",0.01,92,"Dolnoslaskie"
2021-05-03,"4 wk ahead inc death",2021-05-29,"PL72","quantile",0.025,104,"Dolnoslaskie"
2021-05-03,"4 wk ahead inc death",2021-05-29,"PL72","quantile",0.05,115,"Dolnoslaskie"
2021-05-03,"4 wk ahead inc death",2021-05-29,"PL72","quantile",0.1,129,"Dolnoslaskie"
2021-05-03,"4 wk ahead inc death",2021-05-29,"PL72","quantile",0.15,139,"Dolnoslaskie"
2021-05-03,"4 wk ahead inc death",2021-05-29,"PL72","quantile",0.2,148,"Dolnoslaskie"
2021-05-03,"4 wk ahead inc death",2021-05-29,"PL72","quantile",0.25,155,"Dolnoslaskie"
2021-05-03,"4 wk ahead inc death",2021-05-29,"PL72","quantile",0.3,162,"Dolnoslaskie"
2021-05-03,"4 wk ahead inc death",2021-05-29,"PL72","quantile",0.35,169,"Dolnoslaskie"
2021-05-03,"4 wk ahead inc death",2021-05-29,"PL72","quantile",0.4,176,"Dolnoslaskie"
2021-05-03,"4 wk ahead inc death",2021-05-29,"PL72","quantile",0.45,182,"Dolnoslaskie"
2021-05-03,"4 wk ahead inc death",2021-05-29,"PL72","quantile",0.5,189,"Dolnoslaskie"
2021-05-03,"4 wk ahead inc death",2021-05-29,"PL72","quantile",0.55,196,"Dolnoslaskie"
2021-05-03,"4 wk ahead inc death",2021-05-29,"PL72","quantile",0.6,203,"Dolnoslaskie"
2021-05-03,"4 wk ahead inc death",2021-05-29,"PL72","quantile",0.65,211,"Dolnoslaskie"
2021-05-03,"4 wk ahead inc death",2021-05-29,"PL72","quantile",0.7,219,"Dolnoslaskie"
2021-05-03,"4 wk ahead inc death",2021-05-29,"PL72","quantile",0.75,228,"Dolnoslaskie"
2021-05-03,"4 wk ahead inc death",2021-05-29,"PL72","quantile",0.8,239,"Dolnoslaskie"
2021-05-03,"4 wk ahead inc death",2021-05-29,"PL72","quantile",0.85,252,"Dolnoslaskie"
2021-05-03,"4 wk ahead inc death",2021-05-29,"PL72","quantile",0.9,269,"Dolnoslaskie"
2021-05-03,"4 wk ahead inc death",2021-05-29,"PL72","quantile",0.95,296,"Dolnoslaskie"
2021-05-03,"4 wk ahead inc death",2021-05-29,"PL72","quantile",0.975,322,"Dolnoslaskie"
2021-05-03,"4 wk ahead inc death",2021-05-29,"PL72","quantile",0.99,354,"Dolnoslaskie"
2021-05-03,"-1 wk ahead cum death",2021-04-24,"PL72","observed",NA,4082,"Dolnoslaskie"
2021-05-03,"0 wk ahead cum death",2021-05-01,"PL72","observed",NA,4303,"Dolnoslaskie"
2021-05-03,"1 wk ahead cum death",2021-05-08,"PL72","point",NA,4516,"Dolnoslaskie"
2021-05-03,"2 wk ahead cum death",2021-05-15,"PL72","point",NA,4721,"Dolnoslaskie"
2021-05-03,"3 wk ahead cum death",2021-05-22,"PL72","point",NA,4918,"Dolnoslaskie"
2021-05-03,"4 wk ahead cum death",2021-05-29,"PL72","point",NA,5108.5,"Dolnoslaskie"
2021-05-03,"1 wk ahead cum death",2021-05-08,"PL72","quantile",0.01,4452,"Dolnoslaskie"
2021-05-03,"1 wk ahead cum death",2021-05-08,"PL72","quantile",0.025,4461,"Dolnoslaskie"
2021-05-03,"1 wk ahead cum death",2021-05-08,"PL72","quantile",0.05,4470,"Dolnoslaskie"
2021-05-03,"1 wk ahead cum death",2021-05-08,"PL72","quantile",0.1,4479,"Dolnoslaskie"
2021-05-03,"1 wk ahead cum death",2021-05-08,"PL72","quantile",0.15,4486,"Dolnoslaskie"
2021-05-03,"1 wk ahead cum death",2021-05-08,"PL72","quantile",0.2,4491,"Dolnoslaskie"
2021-05-03,"1 wk ahead cum death",2021-05-08,"PL72","quantile",0.25,4496,"Dolnoslaskie"
2021-05-03,"1 wk ahead cum death",2021-05-08,"PL72","quantile",0.3,4500,"Dolnoslaskie"
2021-05-03,"1 wk ahead cum death",2021-05-08,"PL72","quantile",0.35,4505,"Dolnoslaskie"
2021-05-03,"1 wk ahead cum death",2021-05-08,"PL72","quantile",0.4,4508,"Dolnoslaskie"
2021-05-03,"1 wk ahead cum death",2021-05-08,"PL72","quantile",0.45,4512,"Dolnoslaskie"
2021-05-03,"1 wk ahead cum death",2021-05-08,"PL72","quantile",0.5,4516,"Dolnoslaskie"
2021-05-03,"1 wk ahead cum death",2021-05-08,"PL72","quantile",0.55,4520,"Dolnoslaskie"
2021-05-03,"1 wk ahead cum death",2021-05-08,"PL72","quantile",0.6,4524,"Dolnoslaskie"
2021-05-03,"1 wk ahead cum death",2021-05-08,"PL72","quantile",0.65,4528,"Dolnoslaskie"
2021-05-03,"1 wk ahead cum death",2021-05-08,"PL72","quantile",0.7,4532,"Dolnoslaskie"
2021-05-03,"1 wk ahead cum death",2021-05-08,"PL72","quantile",0.75,4537,"Dolnoslaskie"
2021-05-03,"1 wk ahead cum death",2021-05-08,"PL72","quantile",0.8,4542,"Dolnoslaskie"
2021-05-03,"1 wk ahead cum death",2021-05-08,"PL72","quantile",0.85,4549,"Dolnoslaskie"
2021-05-03,"1 wk ahead cum death",2021-05-08,"PL72","quantile",0.9,4557,"Dolnoslaskie"
2021-05-03,"1 wk ahead cum death",2021-05-08,"PL72","quantile",0.95,4569,"Dolnoslaskie"
2021-05-03,"1 wk ahead cum death",2021-05-08,"PL72","quantile",0.975,4580,"Dolnoslaskie"
2021-05-03,"1 wk ahead cum death",2021-05-08,"PL72","quantile",0.99,4594,"Dolnoslaskie"
2021-05-03,"2 wk ahead cum death",2021-05-15,"PL72","quantile",0.01,4586,"Dolnoslaskie"
2021-05-03,"2 wk ahead cum death",2021-05-15,"PL72","quantile",0.025,4605,"Dolnoslaskie"
2021-05-03,"2 wk ahead cum death",2021-05-15,"PL72","quantile",0.05,4622,"Dolnoslaskie"
2021-05-03,"2 wk ahead cum death",2021-05-15,"PL72","quantile",0.1,4642,"Dolnoslaskie"
2021-05-03,"2 wk ahead cum death",2021-05-15,"PL72","quantile",0.15,4656,"Dolnoslaskie"
2021-05-03,"2 wk ahead cum death",2021-05-15,"PL72","quantile",0.2,4668,"Dolnoslaskie"
2021-05-03,"2 wk ahead cum death",2021-05-15,"PL72","quantile",0.25,4678,"Dolnoslaskie"
2021-05-03,"2 wk ahead cum death",2021-05-15,"PL72","quantile",0.3,4688,"Dolnoslaskie"
2021-05-03,"2 wk ahead cum death",2021-05-15,"PL72","quantile",0.35,4696,"Dolnoslaskie"
2021-05-03,"2 wk ahead cum death",2021-05-15,"PL72","quantile",0.4,4705,"Dolnoslaskie"
2021-05-03,"2 wk ahead cum death",2021-05-15,"PL72","quantile",0.45,4713,"Dolnoslaskie"
2021-05-03,"2 wk ahead cum death",2021-05-15,"PL72","quantile",0.5,4721,"Dolnoslaskie"
2021-05-03,"2 wk ahead cum death",2021-05-15,"PL72","quantile",0.55,4729,"Dolnoslaskie"
2021-05-03,"2 wk ahead cum death",2021-05-15,"PL72","quantile",0.6,4738,"Dolnoslaskie"
2021-05-03,"2 wk ahead cum death",2021-05-15,"PL72","quantile",0.65,4747,"Dolnoslaskie"
2021-05-03,"2 wk ahead cum death",2021-05-15,"PL72","quantile",0.7,4757,"Dolnoslaskie"
2021-05-03,"2 wk ahead cum death",2021-05-15,"PL72","quantile",0.75,4768,"Dolnoslaskie"
2021-05-03,"2 wk ahead cum death",2021-05-15,"PL72","quantile",0.8,4780,"Dolnoslaskie"
2021-05-03,"2 wk ahead cum death",2021-05-15,"PL72","quantile",0.85,4794,"Dolnoslaskie"
2021-05-03,"2 wk ahead cum death",2021-05-15,"PL72","quantile",0.9,4812,"Dolnoslaskie"
2021-05-03,"2 wk ahead cum death",2021-05-15,"PL72","quantile",0.95,4840,"Dolnoslaskie"
2021-05-03,"2 wk ahead cum death",2021-05-15,"PL72","quantile",0.975,4866,"Dolnoslaskie"
2021-05-03,"2 wk ahead cum death",2021-05-15,"PL72","quantile",0.99,4896,"Dolnoslaskie"
2021-05-03,"3 wk ahead cum death",2021-05-22,"PL72","quantile",0.01,4704,"Dolnoslaskie"
2021-05-03,"3 wk ahead cum death",2021-05-22,"PL72","quantile",0.025,4734,"Dolnoslaskie"
2021-05-03,"3 wk ahead cum death",2021-05-22,"PL72","quantile",0.05,4761,"Dolnoslaskie"
2021-05-03,"3 wk ahead cum death",2021-05-22,"PL72","quantile",0.1,4792,"Dolnoslaskie"
2021-05-03,"3 wk ahead cum death",2021-05-22,"PL72","quantile",0.15,4814,"Dolnoslaskie"
2021-05-03,"3 wk ahead cum death",2021-05-22,"PL72","quantile",0.2,4833,"Dolnoslaskie"
2021-05-03,"3 wk ahead cum death",2021-05-22,"PL72","quantile",0.25,4849,"Dolnoslaskie"
2021-05-03,"3 wk ahead cum death",2021-05-22,"PL72","quantile",0.3,4864,"Dolnoslaskie"
2021-05-03,"3 wk ahead cum death",2021-05-22,"PL72","quantile",0.35,4878,"Dolnoslaskie"
2021-05-03,"3 wk ahead cum death",2021-05-22,"PL72","quantile",0.4,4892,"Dolnoslaskie"
2021-05-03,"3 wk ahead cum death",2021-05-22,"PL72","quantile",0.45,4905,"Dolnoslaskie"
2021-05-03,"3 wk ahead cum death",2021-05-22,"PL72","quantile",0.5,4918,"Dolnoslaskie"
2021-05-03,"3 wk ahead cum death",2021-05-22,"PL72","quantile",0.55,4932,"Dolnoslaskie"
2021-05-03,"3 wk ahead cum death",2021-05-22,"PL72","quantile",0.6,4947,"Dolnoslaskie"
2021-05-03,"3 wk ahead cum death",2021-05-22,"PL72","quantile",0.65,4962,"Dolnoslaskie"
2021-05-03,"3 wk ahead cum death",2021-05-22,"PL72","quantile",0.7,4978,"Dolnoslaskie"
2021-05-03,"3 wk ahead cum death",2021-05-22,"PL72","quantile",0.75,4996,"Dolnoslaskie"
2021-05-03,"3 wk ahead cum death",2021-05-22,"PL72","quantile",0.8,5016,"Dolnoslaskie"
2021-05-03,"3 wk ahead cum death",2021-05-22,"PL72","quantile",0.85,5040,"Dolnoslaskie"
2021-05-03,"3 wk ahead cum death",2021-05-22,"PL72","quantile",0.9,5070,"Dolnoslaskie"
2021-05-03,"3 wk ahead cum death",2021-05-22,"PL72","quantile",0.95,5119,"Dolnoslaskie"
2021-05-03,"3 wk ahead cum death",2021-05-22,"PL72","quantile",0.975,5161,"Dolnoslaskie"
2021-05-03,"3 wk ahead cum death",2021-05-22,"PL72","quantile",0.99,5214,"Dolnoslaskie"
2021-05-03,"4 wk ahead cum death",2021-05-29,"PL72","quantile",0.01,4808,"Dolnoslaskie"
2021-05-03,"4 wk ahead cum death",2021-05-29,"PL72","quantile",0.025,4849,"Dolnoslaskie"
2021-05-03,"4 wk ahead cum death",2021-05-29,"PL72","quantile",0.05,4886,"Dolnoslaskie"
2021-05-03,"4 wk ahead cum death",2021-05-29,"PL72","quantile",0.1,4930,"Dolnoslaskie"
2021-05-03,"4 wk ahead cum death",2021-05-29,"PL72","quantile",0.15,4961,"Dolnoslaskie"
2021-05-03,"4 wk ahead cum death",2021-05-29,"PL72","quantile",0.2,4987,"Dolnoslaskie"
2021-05-03,"4 wk ahead cum death",2021-05-29,"PL72","quantile",0.25,5009.75,"Dolnoslaskie"
2021-05-03,"4 wk ahead cum death",2021-05-29,"PL72","quantile",0.3,5031,"Dolnoslaskie"
2021-05-03,"4 wk ahead cum death",2021-05-29,"PL72","quantile",0.35,5051,"Dolnoslaskie"
2021-05-03,"4 wk ahead cum death",2021-05-29,"PL72","quantile",0.4,5070,"Dolnoslaskie"
2021-05-03,"4 wk ahead cum death",2021-05-29,"PL72","quantile",0.45,5089,"Dolnoslaskie"
2021-05-03,"4 wk ahead cum death",2021-05-29,"PL72","quantile",0.5,5108.5,"Dolnoslaskie"
2021-05-03,"4 wk ahead cum death",2021-05-29,"PL72","quantile",0.55,5128,"Dolnoslaskie"
2021-05-03,"4 wk ahead cum death",2021-05-29,"PL72","quantile",0.6,5149,"Dolnoslaskie"
2021-05-03,"4 wk ahead cum death",2021-05-29,"PL72","quantile",0.65,5171,"Dolnoslaskie"
2021-05-03,"4 wk ahead cum death",2021-05-29,"PL72","quantile",0.7,5194,"Dolnoslaskie"
2021-05-03,"4 wk ahead cum death",2021-05-29,"PL72","quantile",0.75,5220,"Dolnoslaskie"
2021-05-03,"4 wk ahead cum death",2021-05-29,"PL72","quantile",0.8,5249,"Dolnoslaskie"
2021-05-03,"4 wk ahead cum death",2021-05-29,"PL72","quantile",0.85,5284,"Dolnoslaskie"
2021-05-03,"4 wk ahead cum death",2021-05-29,"PL72","quantile",0.9,5330,"Dolnoslaskie"
2021-05-03,"4 wk ahead cum death",2021-05-29,"PL72","quantile",0.95,5400,"Dolnoslaskie"
2021-05-03,"4 wk ahead cum death",2021-05-29,"PL72","quantile",0.975,5465,"Dolnoslaskie"
2021-05-03,"4 wk ahead cum death",2021-05-29,"PL72","quantile",0.99,5545,"Dolnoslaskie"
2021-05-03,"-1 wk ahead inc death",2021-04-24,"PL73","observed",NA,211,"Kujawsko-Pomorskie"
2021-05-03,"0 wk ahead inc death",2021-05-01,"PL73","observed",NA,154,"Kujawsko-Pomorskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL73","point",NA,107,"Kujawsko-Pomorskie"
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL73","point",NA,73,"Kujawsko-Pomorskie"
2021-05-03,"3 wk ahead inc death",2021-05-22,"PL73","point",NA,49,"Kujawsko-Pomorskie"
2021-05-03,"4 wk ahead inc death",2021-05-29,"PL73","point",NA,34,"Kujawsko-Pomorskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL73","quantile",0.01,36,"Kujawsko-Pomorskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL73","quantile",0.025,45,"Kujawsko-Pomorskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL73","quantile",0.05,52,"Kujawsko-Pomorskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL73","quantile",0.1,62,"Kujawsko-Pomorskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL73","quantile",0.15,70,"Kujawsko-Pomorskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL73","quantile",0.2,76,"Kujawsko-Pomorskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL73","quantile",0.25,82,"Kujawsko-Pomorskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL73","quantile",0.3,87,"Kujawsko-Pomorskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL73","quantile",0.35,92,"Kujawsko-Pomorskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL73","quantile",0.4,97,"Kujawsko-Pomorskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL73","quantile",0.45,102,"Kujawsko-Pomorskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL73","quantile",0.5,107,"Kujawsko-Pomorskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL73","quantile",0.55,113,"Kujawsko-Pomorskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL73","quantile",0.6,118,"Kujawsko-Pomorskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL73","quantile",0.65,124,"Kujawsko-Pomorskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL73","quantile",0.7,131,"Kujawsko-Pomorskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL73","quantile",0.75,138,"Kujawsko-Pomorskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL73","quantile",0.8,146,"Kujawsko-Pomorskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL73","quantile",0.85,157,"Kujawsko-Pomorskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL73","quantile",0.9,170,"Kujawsko-Pomorskie"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL73","quantile",0.95,191,"Kujawsko-Pomorskie"
