"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-05-17,"1 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","point",NA,126
2021-05-17,"2 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","point",NA,103
2021-05-17,"3 wk ahead inc death",2021-06-05,"PL72","Dolnoslaskie Province","point",NA,84
2021-05-17,"4 wk ahead inc death",2021-06-12,"PL72","Dolnoslaskie Province","point",NA,68
2021-05-17,"1 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.01,54
2021-05-17,"1 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.025,65
2021-05-17,"1 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.05,75
2021-05-17,"1 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.1,86
2021-05-17,"1 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.15,93
2021-05-17,"1 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.2,100
2021-05-17,"1 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.25,105
2021-05-17,"1 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.3,110
2021-05-17,"1 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.35,114
2021-05-17,"1 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.4,119
2021-05-17,"1 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.45,122
2021-05-17,"1 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.5,126
2021-05-17,"1 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.55,130
2021-05-17,"1 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.6,134
2021-05-17,"1 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.65,138
2021-05-17,"1 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.7,142
2021-05-17,"1 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.75,147
2021-05-17,"1 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.8,152
2021-05-17,"1 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.85,158
2021-05-17,"1 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.9,165
2021-05-17,"1 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.95,176
2021-05-17,"1 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.975,187
2021-05-17,"1 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.99,199
2021-05-17,"2 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.01,34
2021-05-17,"2 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.025,42
2021-05-17,"2 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.05,50
2021-05-17,"2 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.1,60
2021-05-17,"2 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.15,67
2021-05-17,"2 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.2,73
2021-05-17,"2 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.25,79
2021-05-17,"2 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.3,84
2021-05-17,"2 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.35,89
2021-05-17,"2 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.4,94
2021-05-17,"2 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.45,99
2021-05-17,"2 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.5,103
2021-05-17,"2 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.55,108
2021-05-17,"2 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.6,113
2021-05-17,"2 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.65,119
2021-05-17,"2 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.7,125
2021-05-17,"2 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.75,132
2021-05-17,"2 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.8,140
2021-05-17,"2 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.85,150
2021-05-17,"2 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.9,162
2021-05-17,"2 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.95,183
2021-05-17,"2 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.975,204
2021-05-17,"2 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.99,222
2021-05-17,"3 wk ahead inc death",2021-06-05,"PL72","Dolnoslaskie Province","quantile",0.01,17
2021-05-17,"3 wk ahead inc death",2021-06-05,"PL72","Dolnoslaskie Province","quantile",0.025,23
2021-05-17,"3 wk ahead inc death",2021-06-05,"PL72","Dolnoslaskie Province","quantile",0.05,28
2021-05-17,"3 wk ahead inc death",2021-06-05,"PL72","Dolnoslaskie Province","quantile",0.1,37
2021-05-17,"3 wk ahead inc death",2021-06-05,"PL72","Dolnoslaskie Province","quantile",0.15,44
2021-05-17,"3 wk ahead inc death",2021-06-05,"PL72","Dolnoslaskie Province","quantile",0.2,50
2021-05-17,"3 wk ahead inc death",2021-06-05,"PL72","Dolnoslaskie Province","quantile",0.25,56
2021-05-17,"3 wk ahead inc death",2021-06-05,"PL72","Dolnoslaskie Province","quantile",0.3,62
2021-05-17,"3 wk ahead inc death",2021-06-05,"PL72","Dolnoslaskie Province","quantile",0.35,67
2021-05-17,"3 wk ahead inc death",2021-06-05,"PL72","Dolnoslaskie Province","quantile",0.4,72
2021-05-17,"3 wk ahead inc death",2021-06-05,"PL72","Dolnoslaskie Province","quantile",0.45,78
2021-05-17,"3 wk ahead inc death",2021-06-05,"PL72","Dolnoslaskie Province","quantile",0.5,84
2021-05-17,"3 wk ahead inc death",2021-06-05,"PL72","Dolnoslaskie Province","quantile",0.55,91
2021-05-17,"3 wk ahead inc death",2021-06-05,"PL72","Dolnoslaskie Province","quantile",0.6,97
2021-05-17,"3 wk ahead inc death",2021-06-05,"PL72","Dolnoslaskie Province","quantile",0.65,104
2021-05-17,"3 wk ahead inc death",2021-06-05,"PL72","Dolnoslaskie Province","quantile",0.7,112
2021-05-17,"3 wk ahead inc death",2021-06-05,"PL72","Dolnoslaskie Province","quantile",0.75,121
2021-05-17,"3 wk ahead inc death",2021-06-05,"PL72","Dolnoslaskie Province","quantile",0.8,133
2021-05-17,"3 wk ahead inc death",2021-06-05,"PL72","Dolnoslaskie Province","quantile",0.85,148
2021-05-17,"3 wk ahead inc death",2021-06-05,"PL72","Dolnoslaskie Province","quantile",0.9,168
2021-05-17,"3 wk ahead inc death",2021-06-05,"PL72","Dolnoslaskie Province","quantile",0.95,203
2021-05-17,"3 wk ahead inc death",2021-06-05,"PL72","Dolnoslaskie Province","quantile",0.975,237
2021-05-17,"3 wk ahead inc death",2021-06-05,"PL72","Dolnoslaskie Province","quantile",0.99,284
2021-05-17,"4 wk ahead inc death",2021-06-12,"PL72","Dolnoslaskie Province","quantile",0.01,8
2021-05-17,"4 wk ahead inc death",2021-06-12,"PL72","Dolnoslaskie Province","quantile",0.025,11
2021-05-17,"4 wk ahead inc death",2021-06-12,"PL72","Dolnoslaskie Province","quantile",0.05,15
2021-05-17,"4 wk ahead inc death",2021-06-12,"PL72","Dolnoslaskie Province","quantile",0.1,22
