"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","Baden-Wurttemberg","point",NA,22622
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","Baden-Wurttemberg","point",NA,22660
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","point",NA,22122
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","Baden-Wurttemberg","point",NA,21085
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.01,6690
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.025,9182
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.05,11198
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.1,13673
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.15,15487
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.2,16847
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.25,17962
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.3,18969
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.35,19955
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.4,20857
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.45,21735
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.5,22622
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.55,23485
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.6,24407
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.65,25286
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.7,26354
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.75,27440
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.8,28570
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.85,30075
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.9,31667
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.95,34085
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.975,36302
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.99,38819
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.01,2703
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.025,4181
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.05,6024
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.1,8722
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.15,10717
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.2,12542
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.25,14343
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.3,16073
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.35,17612
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.4,19330
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.45,20999
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.5,22660
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.55,24464
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.6,26241
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.65,28373
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.7,30762
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.75,33243
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.8,36567
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.85,40669
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.9,45955
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.95,54351
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.975,62457
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.99,72847
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.01,840
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.025,1821
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.05,2988
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.1,4979
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.15,6971
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.2,8879
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.25,10796
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.3,12839
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.35,14842
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.4,17179
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.45,19607
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.5,22122
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.55,24987
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.6,27932
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.65,31569
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.7,35782
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.75,40705
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.8,47311
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.85,56488
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.9,68691
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.95,90840
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.975,113656
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.99,146369
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.01,220
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.025,648
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.05,1332
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.1,2709
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.15,4200
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.2,5768
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.25,7639
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.3,9780
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.35,11898
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.4,14611
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.45,17478
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.5,21085
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.55,24937
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.6,29643
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.65,35152
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.7,42041
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.75,51304
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.8,62627
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.85,79971
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.9,106433
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.95,161135
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.975,228534
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.99,338455
2021-05-03,"1 wk ahead cum case",2021-05-08,"GM01","Baden-Wurttemberg","point",NA,468944
2021-05-03,"2 wk ahead cum case",2021-05-15,"GM01","Baden-Wurttemberg","point",NA,491845
2021-05-03,"3 wk ahead cum case",2021-05-22,"GM01","Baden-Wurttemberg","point",NA,514450
2021-05-03,"4 wk ahead cum case",2021-05-29,"GM01","Baden-Wurttemberg","point",NA,536857
2021-05-03,"1 wk ahead cum case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.01,453012
2021-05-03,"1 wk ahead cum case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.025,455504
2021-05-03,"1 wk ahead cum case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.05,457520
2021-05-03,"1 wk ahead cum case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.1,459995
2021-05-03,"1 wk ahead cum case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.15,461809
2021-05-03,"1 wk ahead cum case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.2,463169
2021-05-03,"1 wk ahead cum case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.25,464284
2021-05-03,"1 wk ahead cum case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.3,465291
2021-05-03,"1 wk ahead cum case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.35,466277
2021-05-03,"1 wk ahead cum case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.4,467179
2021-05-03,"1 wk ahead cum case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.45,468057
2021-05-03,"1 wk ahead cum case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.5,468944
2021-05-03,"1 wk ahead cum case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.55,469807
2021-05-03,"1 wk ahead cum case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.6,470729
2021-05-03,"1 wk ahead cum case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.65,471608
2021-05-03,"1 wk ahead cum case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.7,472676
2021-05-03,"1 wk ahead cum case",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.75,473762
