"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","point",NA,164
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","point",NA,144
2021-05-10,"3 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","point",NA,126
2021-05-10,"4 wk ahead inc death",2021-06-05,"PL72","Dolnoslaskie Province","point",NA,109
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.01,71
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.025,87
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.05,99
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.1,113
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.15,123
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.2,130
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.25,136
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.3,143
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.35,148
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.4,154
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.45,159
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.5,164
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.55,169
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.6,174
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.65,180
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.7,185
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.75,192
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.8,199
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.85,207
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.9,217
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.95,232
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.975,244
2021-05-10,"1 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.99,261
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.01,51
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.025,61
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.05,73
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.1,86
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.15,96
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.2,104
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.25,111
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.3,118
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.35,124
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.4,131
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.45,137
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.5,144
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.55,150
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.6,158
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.65,165
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.7,173
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.75,181
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.8,192
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.85,205
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.9,223
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.95,248
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.975,271
2021-05-10,"2 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.99,297
2021-05-10,"3 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.01,32
2021-05-10,"3 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.025,42
2021-05-10,"3 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.05,51
2021-05-10,"3 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.1,63
2021-05-10,"3 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.15,72
2021-05-10,"3 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.2,81
2021-05-10,"3 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.25,89
2021-05-10,"3 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.3,96
2021-05-10,"3 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.35,104
2021-05-10,"3 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.4,111
2021-05-10,"3 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.45,118
2021-05-10,"3 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.5,126
2021-05-10,"3 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.55,134
2021-05-10,"3 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.6,143
2021-05-10,"3 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.65,152
2021-05-10,"3 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.7,162
2021-05-10,"3 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.75,174
2021-05-10,"3 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.8,189
2021-05-10,"3 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.85,206
